CATEGORÍA,MARCA,IDIOMA,PRODUCTO,SKU,TIPO ENVASE UNID,UNIDADES POR DISPLAY,NOMBRE CAJA MÁSTER,SKU CAJA MÁSTER,unidades x CM,Items por CM
KEEPERS,GRANA,ESPAÑOL,KEEPER PROTEIN MANÍ 40 GRS X4,KPMC_U16010,DISPLAY,4,CAJA MASTER KEEPER PROTEIN MANÍ 40 GRS X4,KPMC_C01810,18,72
KEEPERS,GRANA,ESPAÑOL,KEEPER PROTEIN MANÍ 40 GRS X12,KPMC_U48010,DISPLAY,12,CAJA MASTER KEEPER PROTEIN MANÍ 40 GRS X12,KPMC_C00810,8,96
KEEPERS,GRANA,ESPAÑOL,KEEPER PIONEROS,KPMC_U30010,DISPLAY,10,,,,0
KITDEGUSTACION,GRANA,ESPAÑOL,KITDEGUSTACION,,DISPLAY,,,,,0
CAMPAÑAUPSELLING,GRANA,ESPAÑOL,CAMPAÑAUPSELLING,,,1,,,,0
KRUMS,GRANA,ESPAÑOL,GRANOLA SALADA MOSTAZA 240,PKMM_U24010,DISPLAY,1,CAJA MASTER GRANOLA SALADA MOSTAZA 240,PKMM_C01010,10,10
KRUMS,GRANA,ESPAÑOL,GRANOLA SALADA MOSTAZA SACHET 40 X1,PKMM_U04010,SACHET,1,CAJA MASTER GRANOLA SALADA MOSTAZA SACHET 40 X1,PKMM_C10010,100,100
KRUMS,GRANA,ESPAÑOL,GRANOLA SALADA TAHINE 240,PKST_U24010,DISPLAY,1,CAJA MASTER GRANOLA SALADA TAHINE 240,PKST_C01010,10,10
KRUMS,GRANA,ESPAÑOL,GRANOLA SALADA TAHINE SACHET 40 X1,PKST_U04010,SACHET,1,CAJA MASTER GRANOLA SALADA TAHINE SACHET 40 X1,PKST_C10010,100,100
KRUMS,GRANA,ESPAÑOL,GRANOLA SALADA SPICY 240,PKSP_U24010,DISPLAY,1,CAJA MASTER GRANOLA SALADA SPICY 240,PKSP_C01010,10,10
KRUMS,GRANA,ESPAÑOL,GRANOLA SALADA SPICY SACHET 40 X1,PKSP_U04010,SACHET,1,CAJA MASTER GRANOLA SALADA SPICY SACHET 40 X1,PKSP_C10010,100,100
GRANOLAS,GRANA,ESPAÑOL,GRANOLA PROTEIN ALMENDRAS 240,GPAA_U24010,DISPLAY,1,CAJA MASTER GRANOLA PROTEIN ALMENDRAS 240,GPAA_C01010,10,10
GRANOLAS,GRANA,ESPAÑOL,GRANOLA PROTEIN ALMENDRAS SACHET 40 X1,GPAA_U04010,SACHET,1,CAJA MASTER GRANOLA PROTEIN ALMENDRAS SACHET 40 X1,GPAA_C10010,100,100
GRANOLAS,GRANA,ESPAÑOL,GRANOLA PROTEIN CACAO 240,GPCC_U24010,DISPLAY,1,CAJA MASTER GRANOLA PROTEIN CACAO 240,GPCC_C01010,10,10
GRANOLAS,GRANA,ESPAÑOL,GRANOLA PROTEIN CACAO SACHET 40 X1,GPCC_U04010,SACHET,1,CAJA MASTER GRANOLA PROTEIN CACAO SACHET 40 X1,GPCC_C10010,100,100
GRANOLAS,GRANA,ESPAÑOL,GRANOLA PROTEIN BERRIES 240,GPBB_U24010,DISPLAY,1,CAJA MASTER GRANOLA PROTEIN BERRIES 240,GPBB_C01010,10,10
GRANOLAS,GRANA,ESPAÑOL,GRANOLA PROTEIN BERRIES SACHET 40 X1,GPBB_U04010,SACHET,1,CAJA MASTER GRANOLA PROTEIN BERRIES SACHET 40 X1,GPBB_C10010,100,100
